delta_frame_time,dns_answers_ttl,is_cc_provider,is_ip_private,delay
16,7184,0,1,0.18149183815284148
13,287,0,1,-0.18759011591066144
18,10,0,1,1.151697311094519
18,10,0,1,0.7439100647138406
20,40,1,1,-1.4654928433920877
20,5,0,1,-0.43018404080070904
12,48,0,1,1.2450931237900684
17,283,0,1,0.13414422824244968
17,283,0,1,0.31094261002310153
20,280,0,1,-0.05307309730984877
15,285,0,1,-0.3062374606618996
18,282,0,1,1.6100693015204803
20,300,0,1,0.6073581910952501
19,281,1,1,1.5938757766095262
12,288,0,1,-0.061173087148126325
17,43,1,1,0.08891673571182072
18,300,0,1,-0.19748453356894224
18,3600,0,1,-1.0541895839292426
13,47,1,1,-1.066784221827551
20,580,0,1,-0.19371463585733897
16,3584,0,1,-0.08392249535399872
16,14400,0,1,0.8983667647064564
19,3581,0,1,1.455891131719377
16,3587,0,1,-0.7910562937946894
13,287,0,1,-1.1961301781092104
13,287,0,1,0.43620111620810803
11,589,0,1,0.3403705635519657
19,581,0,1,1.2656939726265604
16,164,0,1,0.22260912368532174
18,3582,0,1,0.8608660945040002
15,285,0,1,0.3699193228114249
11,86389,0,1,1.7867105805343197
13,287,0,1,0.2543839327651798
13,287,0,1,0.03711425317074797
17,883,0,1,0.908001978670046
16,284,0,1,-0.9859222092331571
16,300,0,1,-1.4648836629315432
17,14383,0,1,-0.40268099359474535
12,48,0,1,-0.6006903481440166
20,580,0,1,-0.6735832591191188
17,1,0,1,-0.33583336183562773
14,286,0,1,-0.8698705346854222
14,286,0,1,-0.5474336689044061
14,286,0,1,-0.9884525938954869
15,1785,0,1,0.3399771996443942
16,14400,0,1,1.252429146896362
12,288,0,1,-0.856841278419928
16,7184,0,1,1.4956808715264518
20,300,0,1,0.5341635572811831
14,886,0,1,0.10720933760537352
14,286,0,1,-1.9179325545503783
14,286,0,1,0.19730212424108254
17,583,0,1,-0.1643198653278292
16,284,0,1,-0.30688813632485473
13,287,0,1,-1.5725722030217573
19,43200,0,1,-0.8296161102671546
